repo_name,len_nodes,len_edges,edge_density,is_sparse,avg_deg,avg_clustering,lcc_node_coverage_ratio,lcc_len_nodes,lcc_len_edges,lcc_edge_density
pingcap_tidb_2023,194752,712779,3.758575417146709e-05,True,7.319863210647387,0.249576054780628,0.9997535326979954,194704,712743,3.7602389127297886e-05
cockroachdb_cockroach_2023,239530,907692,3.164102089908076e-05,True,7.5789420949359165,0.29402807034041417,0.9990397862480691,239300,907483,3.169457345226382e-05
apache_doris_2023,185590,521019,3.0253578591219284e-05,True,5.614731397165795,0.31237593843518363,0.9990624494854249,185416,520877,3.0302126260344437e-05
elastic_elasticsearch_2023,126065,326712,4.111586870924578e-05,True,5.183230872962361,0.3527665448381897,0.9946694165708166,125393,326100,4.1479897270609125e-05
ClickHouse_ClickHouse_2023,139149,365849,3.7789818827610114e-05,True,5.258377710224292,0.3900749395422155,0.9973912856003277,138786,365548,3.7956505252622144e-05
