degree,frequency,probability,cumulative_probability,complementary_cumulative
0,29,0.004451949646914338,0.004451949646914338,1.0
1,5237,0.8039607000307031,0.8084126496776174,0.9955480503530857
2,526,0.08074915566472214,0.8891618053423396,0.19158735032238255
3,179,0.02747927540681609,0.9166410807491556,0.11083819465766047
4,103,0.015812097021799202,0.9324531777709548,0.08335891925084438
5,72,0.01105311636475284,0.9435062941357076,0.0675468222290452
6,52,0.007982806263432606,0.9514891003991403,0.05649370586429235
7,46,0.007061713233036537,0.9585508136321768,0.04851089960085978
8,28,0.004298434141848327,0.962849247774025,0.0414491863678233
9,19,0.0029167945962542217,0.9657660423702793,0.03715075222597492
10,20,0.003070310101320233,0.9688363524715995,0.03423395762972074
11,21,0.003223825606386245,0.9720601780779857,0.03116364752840052
12,15,0.002302732575990175,0.974362910653976,0.02793982192201422
13,9,0.001381639545594105,0.9757445501995701,0.025637089346024034
14,6,0.00092109303039607,0.9766656432299662,0.024255449800429884
15,7,0.0010746085354620817,0.9777402517654282,0.023334356770033857
16,7,0.0010746085354620817,0.9788148603008903,0.022259748234571816
17,4,0.0006140620202640467,0.9794289223211543,0.02118513969910974
18,4,0.0006140620202640467,0.9800429843414183,0.020571077678845702
19,4,0.0006140620202640467,0.9806570463616824,0.019957015658581663
20,3,0.000460546515198035,0.9811175928768804,0.019342953638317652
21,6,0.00092109303039607,0.9820386859072765,0.01888240712311957
22,3,0.000460546515198035,0.9824992324224745,0.017961314092723536
23,6,0.00092109303039607,0.9834203254528706,0.017500767577525455
24,2,0.00030703101013202335,0.9837273564630027,0.016579674547129334
25,4,0.0006140620202640467,0.9843414184832667,0.016272643536997318
26,3,0.000460546515198035,0.9848019649984647,0.015658581516733307
27,2,0.00030703101013202335,0.9851089960085968,0.015198035001535218
28,3,0.000460546515198035,0.9855695425237948,0.014891003991403228
30,3,0.000460546515198035,0.9860300890389928,0.014430457476205227
31,1,0.00015351550506601167,0.9861836045440588,0.013969910961007167
32,3,0.000460546515198035,0.9866441510592568,0.013816395455941188
33,2,0.00030703101013202335,0.9869511820693889,0.013355848940743101
34,2,0.00030703101013202335,0.987258213079521,0.013048817930611026
37,2,0.00030703101013202335,0.9875652440896531,0.012741786920478951
38,2,0.00030703101013202335,0.9878722750997851,0.012434755910346876
39,5,0.0007675775253300583,0.9886398526251152,0.012127724900214836
40,3,0.000460546515198035,0.9891003991403132,0.01136014737488481
41,2,0.00030703101013202335,0.9894074301504453,0.010899600859686723
42,3,0.000460546515198035,0.9898679766656433,0.010592569849554733
43,2,0.00030703101013202335,0.9901750076757754,0.010132023334356647
45,1,0.00015351550506601167,0.9903285231808414,0.009824992324224598
46,1,0.00015351550506601167,0.9904820386859075,0.00967147681915856
47,2,0.00030703101013202335,0.9907890696960395,0.009517961314092497
49,1,0.00015351550506601167,0.9909425852011056,0.009210930303960448
50,1,0.00015351550506601167,0.9910961007061716,0.00905741479889441
