node,clustering_coefficient,node_type,weight,label,degree,repo_id,repo_name,community_id,community_size
R_50874442,0.0,Repo,1,R_50874442,28,50874442,citusdata/citus,5,18
R_2944302,0.0,Repo,1,R_2944302,11,2944302,wiredtiger/wiredtiger,3,24
R_298763623,0.0,Repo,1,R_298763623,42,298763623,kuzudb/kuzu,6,9
R_49412556,0.19047619047619047,Repo,1,R_49412556,55,49412556,quickwit-oss/tantivy,0,28
R_19816070,0.0,Repo,1,R_19816070,32,19816070,MariaDB/server,4,22
R_462329984,0.0,Repo,1,R_462329984,16,462329984,speedb-io/speedb,2,25
R_143436277,0.0,Repo,1,R_143436277,5,143436277,baidu/BaikalDB,2,25
R_41349039,0.0,Repo,1,R_41349039,42,41349039,dgraph-io/dgraph,3,24
R_1917262,0.0,Repo,1,R_1917262,24,1917262,realm/realm-core,3,24
R_911980,0.0,Repo,1,R_911980,81,911980,tarantool/tarantool,3,24
R_95817032,0.0,Repo,1,R_95817032,44,95817032,edgedb/edgedb,0,28
R_77385607,0.2,Repo,1,R_77385607,91,77385607,JanusGraph/janusgraph,0,28
R_30449481,0.14285714285714285,Repo,1,R_30449481,83,30449481,apache/tinkerpop,0,28
R_206424,0.0,Repo,1,R_206424,35,206424,apache/cassandra,0,28
R_546206616,1.0,Repo,1,R_546206616,88,546206616,chroma-core/chroma,6,9
R_84458512,0.0,Repo,1,R_84458512,16,84458512,RedisGraph/RedisGraph,7,7
R_6650539,0.0,Repo,1,R_6650539,33,6650539,neo4j/neo4j,7,7
R_346976717,0.0,Repo,1,R_346976717,42,346976717,4paradigm/OpenMLDB,4,22
R_2524488,0.16666666666666666,Repo,1,R_2524488,41,2524488,apache/accumulo,1,25
R_449924556,0.0,Repo,1,R_449924556,14,449924556,tigrisdata/tigris,0,28
R_198466472,0.0,Repo,1,R_198466472,25,198466472,terminusdb/terminusdb,7,7
R_34533675,0.3333333333333333,Repo,1,R_34533675,62,34533675,apache/sedona,1,25
R_396856161,0.0,Repo,1,R_396856161,68,396856161,authzed/spicedb,3,24
R_396867188,1.0,Repo,1,R_396867188,56,396867188,ArcadeData/arcadedb,0,28
R_7083240,1.0,Repo,1,R_7083240,10,7083240,orientechnologies/orientdb,0,28
R_542714,0.0,Repo,1,R_542714,52,542714,ravendb/ravendb,3,24
R_1050944,0.0,Repo,1,R_1050944,48,1050944,infinispan/infinispan,7,7
R_276293034,0.0,Repo,1,R_276293034,30,276293034,apache/age,4,22
R_141376301,0.16666666666666666,Repo,1,R_141376301,28,141376301,apache/incubator-hugegraph,0,28
R_660776503,0.0,Repo,1,R_660776503,85,660776503,paradedb/paradedb,4,22
R_432844875,0.0,Repo,1,R_432844875,6,432844875,orioledb/orioledb,4,22
R_607441698,0.0,Repo,1,R_607441698,27,607441698,lancedb/lancedb,0,28
R_28738447,0.0,Repo,1,R_28738447,6,28738447,apache/kylin,5,18
R_372536760,0.6,Repo,1,R_372536760,40,372536760,oceanbase/oceanbase,4,22
R_146459443,0.0,Repo,1,R_146459443,25,146459443,vesoft-inc/nebula,2,25
R_47973088,0.16666666666666666,Repo,1,R_47973088,17,47973088,gchq/Gaffer,0,28
R_420965027,0.3333333333333333,Repo,1,R_420965027,25,420965027,cnosdb/cnosdb,6,9
R_54005538,0.0,Repo,1,R_54005538,17,54005538,FirebirdSQL/firebird,3,24
