repo_id,repo_name,repo_name_used,i_pr_rec_cnt,repo_created_at,category_label
735981,xapian/xapian,xapian/xapian,32,2010-06-23T15:51:03Z,"Document,Search Engine"
632269609,kagisearch/vectordb,kagisearch/vectordb,32,2023-04-25T04:13:24Z,"Document,Vector"
278320002,estraier/tkrzw,estraier/tkrzw,32,2020-07-09T09:23:22Z,Key-value
411979983,elmarti/camadb,elmarti/camadb,31,2021-09-30T08:16:18Z,Document
33275300,cachelot/cachelot,cachelot/cachelot,31,2015-04-01T21:59:52Z,Key-value
341208515,edgelesssys/edgelessdb,edgelesssys/edgelessdb,30,2021-02-22T13:24:30Z,Relational
61269853,vanilladb/vanillacore,vanilladb/vanillacore,28,2016-06-16T07:01:25Z,Multivalue
37285717,pilgr/Paper,pilgr/Paper,28,2015-06-11T20:55:15Z,"Key-value,Object Oriented"
318972528,,flower-corp/rosedb,27,,
184227406,tikv/agatedb,tikv/agatedb,27,2019-04-30T08:54:17Z,Key-value
129436009,rakibtg/SleekDB,rakibtg/SleekDB,27,2018-04-13T17:50:14Z,Document
474070793,SnellerInc/sneller,SnellerInc/sneller,25,2022-03-25T15:46:05Z,Document
