referencing_entity_type,count,proportion
IssueComment,1816751,0.4847153661156465
Push,1166027,0.31109998244433545
PullRequest,335538,0.08952268335931109
Issue,168892,0.045060961911678465
Release,96690,0.025797221936149674
PullRequestReview,72597,0.019369127323390814
PullRequestReviewComment,52764,0.014077615247067963
CommitComment,38819,0.010357041662420045
