referencing_entity_type,count,proportion
IssueComment,1816826,0.48461138153611183
Push,1166591,0.3111708420055604
PullRequest,335761,0.08955926548604348
Issue,168912,0.04505477006495268
Release,96765,0.02581062816931388
PullRequestReview,72597,0.01936417271955438
PullRequestReviewComment,52764,0.014074014206848319
CommitComment,38821,0.010354925811615089
