repo_id,repo_name,self_ref_ratio
41986369,pingcap/tidb,0.2358012411395671
16563587,cockroachdb/cockroach,0.6341031777316337
99919302,apache/doris,0.39350381958475245
507775,elastic/elasticsearch,0.6147933587020313
60246359,ClickHouse/ClickHouse,0.6851912261701267
334274271,opensearch-project/OpenSearch,0.35965355299745155
17165658,apache/spark,0.2568893992147567
208728772,milvus-io/milvus,0.2815335349581925
388946490,facebookincubator/velox,0.2592796626267999
166515022,trinodb/trino,0.4226510980700587
453068084,risingwavelabs/risingwave,0.48292094068954944
114187903,apple/foundationdb,0.35485103506382815
339993112,matrixorigin/matrixone,0.516458026509573
358917318,apache/arrow-datafusion,0.4528060263653484
20587599,apache/flink,0.2860689166026361
3786237,hazelcast/hazelcast,0.2598692936551957
302827809,datafuselabs/databend,0.2727429507631284
351806852,neondatabase/neon,0.4940905374265963
49876476,apache/shardingsphere,0.4682279724860793
44781140,greenplum-db/gpdb,0.4338774544594275
48833910,tikv/tikv,0.4146263231048861
5349565,prestodb/presto,0.4423321426409154
385634291,grafana/mimir,0.3309182861688828
6358188,apache/druid,0.6491730981256891
11008207,vitessio/vitess,0.22268043209935606
19961085,apache/pinot,0.1969413700269219
138754790,duckdb/duckdb,0.5667457998539079
480217156,GreptimeTeam/greptimedb,0.35455612751738463
105944401,yugabyte/yugabyte-db,0.37687438776279103
2944302,wiredtiger/wiredtiger,0.8407905035220454
422821402,FerretDB/FerretDB,0.212758607454036
206444,apache/hive,0.015545103577082076
911980,tarantool/tarantool,0.5463227330904795
11225014,etcd-io/etcd,0.294566924868642
2649214,arangodb/arangodb,0.6526440630668341
114619105,apache/kyuubi,0.32915086081120515
60377070,vespa-engine/vespa,0.22072892938496583
542714,ravendb/ravendb,0.2638926909389543
158975124,apache/iotdb,0.14182603898492094
206424,apache/cassandra,0.12040222281026727
156018,redis/redis,0.4206876625252817
196353673,taosdata/TDengine,0.6000599535360096
84240850,timescale/timescaledb,0.37914336379757196
9342529,crate/crate,0.5746133333333333
150954997,VictoriaMetrics/VictoriaMetrics,0.4257690592955863
268163609,qdrant/qdrant,0.4175557198690187
6934395,facebook/rocksdb,0.2836942903168069
20089857,apache/hbase,0.29650193013391796
546206616,chroma-core/chroma,0.45987994609824817
341631350,apache/lucene,0.47645144716561055
6838921,prometheus/prometheus,0.319636840134781
19257422,questdb/questdb,0.7628969499184135
2524488,apache/accumulo,0.7513629283489096
198683574,dolthub/dolt,0.5162424412881451
298763623,kuzudb/kuzu,0.4035803151783246
50874442,citusdata/citus,0.7118622285053335
357707809,quickwit-oss/quickwit,0.5849242424242425
1917262,realm/realm-core,0.6367418012963142
95817032,edgedb/edgedb,0.7813684420506682
52080367,CUBRID/cubrid,0.5148855618654277
1050944,infinispan/infinispan,0.24294624294624295
478288303,nuclia/nucliadb,0.593943090508897
195619075,vdaas/vald,0.19658537778538757
182849188,delta-io/delta,0.444963144963145
86868560,TileDB-Inc/TileDB,0.7391140077453481
496817075,GlareDB/glaredb,0.47940156114483956
130688011,meilisearch/meilisearch,0.40539713621343776
276293034,apache/age,0.5003026634382567
19816070,MariaDB/server,0.3330952380952381
31006158,apache/ignite,0.023600957902697253
41349039,dgraph-io/dgraph,0.6635208372266866
346976717,4paradigm/OpenMLDB,0.20540448093039165
206417,apache/couchdb,0.47490196078431374
201403923,activeloopai/deeplake,0.12640013081514184
396856161,authzed/spicedb,0.5150534958945011
581145740,ByConity/ByConity,0.5002564102564102
11695619,eXist-db/exist,0.046075658052452416
420965027,cnosdb/cnosdb,0.6631325301204819
49412556,quickwit-oss/tantivy,0.21823787116663962
449924556,tigrisdata/tigris,0.4586227426076602
54005538,FirebirdSQL/firebird,0.7364764267990075
372536760,oceanbase/oceanbase,0.3664860681114551
5844474,EventStore/EventStore,0.7252800779347297
520096046,marqo-ai/marqo,0.701006229036895
146459443,vesoft-inc/nebula,0.29520932239965475
30449481,apache/tinkerpop,0.1688903901368012
462329984,speedb-io/speedb,0.47691408533021623
75425073,pubkey/rxdb,0.10146561443066517
141376301,apache/incubator-hugegraph,0.3939868462261196
91593042,bloomberg/comdb2,0.03608805485384338
94593596,etcd-io/bbolt,0.3247422680412371
95614931,manticoresoftware/manticoresearch,0.2735020661157025
607441698,lancedb/lancedb,0.6034004163775156
77385607,JanusGraph/janusgraph,0.2919156200463358
20473418,apache/phoenix,0.3597560975609756
220186120,codenotary/immudb,0.011631111846094482
510607652,pocketbase/pocketbase,0.48020050125313285
148087762,georgia-tech-db/eva,0.29410891823712715
396867188,ArcadeData/arcadedb,0.42482472085172684
456549280,ydb-platform/ydb,0.5925279329608939
34533675,apache/sedona,0.24217221135029354
79317191,typesense/typesense,0.304253785147801
125824259,xtdb/xtdb,0.5727902946273831
87414843,hyrise/hyrise,0.5820224719101124
678214856,timeplus-io/proton,0.6019323671497585
644742603,cloudberrydb/cloudberrydb,0.3189081225033289
47973088,gchq/Gaffer,0.4725124943207633
305513242,fluree/db,0.531934306569343
66783145,couchbase/couchbase-lite-core,0.8571428571428571
84458512,RedisGraph/RedisGraph,0.40875586330131786
442441933,mabel-dev/opteryx,0.1519796450291672
7437073,apache/jena,0.27995582551076753
13124802,influxdata/influxdb,0.4122085048010974
507829396,openGemini/openGemini,0.4101694915254237
6650539,neo4j/neo4j,0.18645731108930325
473235285,polarsignals/frostdb,0.763873775843308
528766495,TuGraph-family/tugraph-db,0.3
660776503,paradedb/paradedb,0.46607569041936586
170496871,gridgain/gridgain,0.7176395939086294
49670957,eclipse/rdf4j,0.5680778032036613
