referenced_entity_type,count,proportion
GitHub_Service_External_Links,1629930,0.43475964627716396
PullRequest,672067,0.17926390163660694
Actor,475708,0.12688805151829657
Issue,281748,0.07515209905903836
Commit,255070,0.06803613834699418
GitHub_Files_FileChanges,193415,0.05159058179473822
Repo,74528,0.019879238321734355
GitHub_GenSer_Other_Links,62683,0.016719760301111993
GitHub_Other_Service,32832,0.008757448912880827
Branch_Tag_GHDir,24108,0.006430451339904088
IssueComment,13355,0.0035622481186502026
SHA,13127,0.0035014325011996413
PullRequestReview,8076,0.002154153186538303
Gollum,5779,0.0015414625142403237
PullRequestReviewComment,3775,0.0010069252450696006
Release,1950,0.0005201335703008533
Branch,581,0.0001549731304332286
Tag,300,8.002054927705435e-05
CommitComment,5,1.3336758212842392e-06
