database,table,name,type,position,default_kind,default_expression,data_compressed_bytes,data_uncompressed_bytes,marks_bytes,comment,is_in_partition_key,is_in_sorting_key,is_in_primary_key,is_in_sampling_key,compression_codec,character_octet_length,numeric_precision,numeric_precision_radix,numeric_scale,datetime_precision
opensource,events,push_commits.name,Array(LowCardinality(String)),90,,,13488559922,84762827938,79669512,,0,0,0,0,,,,,,
opensource,events,push_commits.email,Array(String),91,,,28020268632,275360426496,26556504,,0,0,0,0,,,,,,
opensource,events,push_commits.message,Array(String),92,,,146271192139,468070106525,26556504,,0,0,0,0,,,,,,
opensource,events,fork_forkee_id,UInt64,93,,,988964366,63993768064,26556504,,0,0,0,0,,,64.0,2.0,0.0,
opensource,events,fork_forkee_full_name,LowCardinality(String),94,,,2844775419,16423066790,53113008,,0,0,0,0,,,,,,
opensource,events,fork_forkee_owner_id,UInt64,95,,,990772236,63993768064,26556504,,0,0,0,0,,,64.0,2.0,0.0,
opensource,events,fork_forkee_owner_login,LowCardinality(String),96,,,1646930233,13810610426,53113008,,0,0,0,0,,,,,,
opensource,events,fork_forkee_owner_type,"Enum8('Bot' = 1, 'Mannequin' = 2, 'Organization' = 3, 'User' = 4)",97,,,58530412,7999221008,26556504,,0,0,0,0,,,,,,
opensource,events,delete_ref,String,98,,,2879689125,14896583826,26556504,,0,0,0,0,,,,,,
opensource,events,delete_ref_type,String,99,,,62405950,9469192670,26556504,,0,0,0,0,,,,,,
opensource,events,delete_pusher_type,"Enum8('deploy_key' = 1, 'user' = 2)",100,,,35563141,7999221008,26556504,,0,0,0,0,,,,,,
opensource,events,create_ref,String,101,,,5809641854,22075179865,26556504,,0,0,0,0,,,,,,
opensource,events,create_ref_type,"Enum8('branch' = 1, 'tag' = 2)",102,,,140090018,7999221008,26556504,,0,0,0,0,,,,,,
opensource,events,create_master_branch,String,103,,,668817452,14028464716,26556504,,0,0,0,0,,,,,,
opensource,events,create_description,String,104,,,7712497986,35086575208,26556504,,0,0,0,0,,,,,,
opensource,events,create_pusher_type,"Enum8('deploy_key' = 1, 'user' = 2)",105,,,35497100,7999221008,26556504,,0,0,0,0,,,,,,
opensource,events,gollum_pages.page_name,Array(String),106,,,424486047,64487296705,53113008,,0,0,0,0,,,,,,
opensource,events,gollum_pages.title,Array(String),107,,,143560539,493502393,26556504,,0,0,0,0,,,,,,
opensource,events,gollum_pages.action,Array(String),108,,,20760185,193357307,26556504,,0,0,0,0,,,,,,
opensource,events,member_id,UInt64,109,,,414512960,63993768064,26556504,,0,0,0,0,,,64.0,2.0,0.0,
opensource,events,member_login,LowCardinality(String),110,,,374620299,12079622753,53113008,,0,0,0,0,,,,,,
opensource,events,member_type,"Enum8('Bot' = 1, 'Mannequin' = 2, 'Organization' = 3, 'User' = 4)",111,,,35488331,7999221008,26556504,,0,0,0,0,,,,,,
opensource,events,release_id,UInt64,112,,,457852487,63993768064,26556504,,0,0,0,0,,,64.0,2.0,0.0,
opensource,events,release_tag_name,String,113,,,232449880,8432326662,26556504,,0,0,0,0,,,,,,
opensource,events,release_target_commitish,String,114,,,197613251,8397202397,26556504,,0,0,0,0,,,,,,
opensource,events,release_name,String,115,,,300388656,8566663134,26556504,,0,0,0,0,,,,,,
opensource,events,release_draft,UInt8,116,,,35667971,7999221008,26556504,,0,0,0,0,,,8.0,2.0,0.0,
opensource,events,release_author_id,UInt64,117,,,352811940,63993768064,26556504,,0,0,0,0,,,64.0,2.0,0.0,
opensource,events,release_author_login,LowCardinality(String),118,,,180162692,8647509076,53113008,,0,0,0,0,,,,,,
opensource,events,release_author_type,"Enum8('Bot' = 1, 'Mannequin' = 2, 'Organization' = 3, 'User' = 4)",119,,,41351205,7999221008,26556504,,0,0,0,0,,,,,,
opensource,events,release_prerelease,UInt8,120,,,42316504,7999221008,26556504,,0,0,0,0,,,8.0,2.0,0.0,
opensource,events,release_created_at,Nullable(DateTime),121,,,303984224,39996105040,53113008,,0,0,0,0,,,,,,0.0
opensource,events,release_published_at,Nullable(DateTime),122,,,332786955,39996105040,53113008,,0,0,0,0,,,,,,0.0
opensource,events,release_body,String,123,,,4078805364,19565192784,26556504,,0,0,0,0,,,,,,
opensource,events,release_assets.name,Array(String),124,,,466331237,64697101316,53113008,,0,0,0,0,,,,,,
