subdomain,sample_size,correlation,r_squared,slope,significant
RDF,8,0.817117810886414,0.6676815168678051,0.04757861765971299,True
Vector,14,0.6760980820109062,0.457108616498826,0.07926545647089163,True
Wide column,9,0.2993085376902486,0.08958560073427492,0.014415889912874624,False
Time Series,19,0.2711294542437145,0.07351118095849446,0.014864738443901845,False
Relational,71,0.1583969119795764,0.025089581724665688,0.011032518099721266,False
Graph,23,0.11443079146335469,0.013094406034929775,0.0066935250234041324,False
Key-value,52,0.07746247383541502,0.006000434852702361,0.004248211943535162,False
Object Oriented,17,-0.0014757660427147934,2.177885412829876e-06,-9.228769793202107e-05,False
Document,60,-0.18135799022217575,0.03289072061742684,-0.010452233901434837,False
