repo_id,repo_name,self_ref_ratio,repo_name_used,i_pr_rec_cnt,repo_created_at,category_label,project_age_years,external_ref_ratio
2649214,arangodb/arangodb,0.6526440630668341,arangodb/arangodb,16470,2011-10-26T06:42:00Z,Key-value,12.177960301163587,0.3473559369331659
2649214,arangodb/arangodb,0.6526440630668341,arangodb/arangodb,16470,2011-10-26T06:42:00Z,Document,12.177960301163587,0.3473559369331659
2649214,arangodb/arangodb,0.6526440630668341,arangodb/arangodb,16470,2011-10-26T06:42:00Z,Graph,12.177960301163587,0.3473559369331659
114619105,apache/kyuubi,0.3291508608112051,apache/kyuubi,16360,2017-12-18T09:05:10Z,Relational,6.031485284052019,0.670849139188795
60377070,vespa-engine/vespa,0.2207289293849658,vespa-engine/vespa,16041,2016-06-03T20:54:20Z,Document,7.572895277207392,0.7792710706150342
60377070,vespa-engine/vespa,0.2207289293849658,vespa-engine/vespa,16041,2016-06-03T20:54:20Z,Search Engine,7.572895277207392,0.7792710706150342
542714,ravendb/ravendb,0.2638926909389543,ravendb/ravendb,15125,2010-03-02T11:05:30Z,Key-value,13.828884325804244,0.7361073090610457
542714,ravendb/ravendb,0.2638926909389543,ravendb/ravendb,15125,2010-03-02T11:05:30Z,Document,13.828884325804244,0.7361073090610457
158975124,apache/iotdb,0.1418260389849209,apache/iotdb,14712,2018-11-24T21:29:17Z,Time Series,5.0978781656399725,0.8581739610150791
158975124,apache/iotdb,0.1418260389849209,apache/iotdb,14712,2018-11-24T21:29:17Z,Hierarchical,5.0978781656399725,0.8581739610150791
206424,apache/cassandra,0.1204022228102672,apache/cassandra,14020,2009-05-21T02:10:09Z,Key-value,14.609171800136892,0.8795977771897328
206424,apache/cassandra,0.1204022228102672,apache/cassandra,14020,2009-05-21T02:10:09Z,Wide column,14.609171800136892,0.8795977771897328
156018,redis/redis,0.4206876625252817,redis/redis,13796,2009-03-21T22:32:25Z,Key-value,14.77618069815195,0.5793123374747182
196353673,taosdata/TDengine,0.6000599535360096,taosdata/TDengine,13449,2019-07-11T08:33:48Z,Relational,4.470910335386721,0.3999400464639904
196353673,taosdata/TDengine,0.6000599535360096,taosdata/TDengine,13449,2019-07-11T08:33:48Z,Time Series,4.470910335386721,0.3999400464639904
84240850,timescale/timescaledb,0.3791433637975719,timescale/timescaledb,12176,2017-03-07T20:03:41Z,Time Series,6.8145106091718,0.6208566362024281
9342529,crate/crate,0.5746133333333333,crate/crate,12002,2013-04-10T09:17:16Z,Document,10.72142368240931,0.4253866666666667
150954997,VictoriaMetrics/VictoriaMetrics,0.4257690592955863,VictoriaMetrics/VictoriaMetrics,11965,2018-09-30T09:58:01Z,Wide column,5.248459958932238,0.5742309407044137
150954997,VictoriaMetrics/VictoriaMetrics,0.4257690592955863,VictoriaMetrics/VictoriaMetrics,11965,2018-09-30T09:58:01Z,Time Series,5.248459958932238,0.5742309407044137
268163609,qdrant/qdrant,0.4175557198690187,qdrant/qdrant,11528,2020-05-30T21:37:01Z,Vector,3.583846680355921,0.5824442801309813
6934395,facebook/rocksdb,0.2836942903168069,facebook/rocksdb,10916,2012-11-30T06:16:18Z,Key-value,11.080082135523615,0.7163057096831931
20089857,apache/hbase,0.2965019301339179,apache/hbase,10551,2014-05-23T07:00:07Z,Wide column,9.604380561259411,0.7034980698660821
546206616,chroma-core/chroma,0.4598799460982481,chroma-core/chroma,10539,2022-10-05T17:58:44Z,Document,1.2347707049965777,0.5401200539017519
546206616,chroma-core/chroma,0.4598799460982481,chroma-core/chroma,10539,2022-10-05T17:58:44Z,Vector,1.2347707049965777,0.5401200539017519
341631350,apache/lucene,0.4764514471656105,apache/lucene,10488,2021-02-23T17:16:56Z,Document,2.847364818617385,0.5235485528343895
