repo_id,repo_key,issue_pr_active_id_count,comment_related_id_count,comment_body_ref_count,total_ref_count,active_issue_num,comment_per_issue,referencing_per_comment
357707809,quickwit-oss_quickwit_2023,1774,7216,26282,59690,1774,4.067643742953777,3.6421840354767183
1917262,realm_realm-core_2023,1196,7484,28755,51036,1196,6.25752508361204,3.84219668626403
95817032,edgedb_edgedb_2023,1858,6976,25876,54654,1858,3.7545748116254036,3.709288990825688
52080367,CUBRID_cubrid_2023,853,7004,25062,33618,853,8.211019929660024,3.57824100513992
1050944,infinispan_infinispan_2023,1073,6532,25350,31529,1073,6.087604846225536,3.8808940600122472
478288303,nuclia_nucliadb_2023,1223,6321,32196,102724,1223,5.168438266557645,5.093497864261984
195619075,vdaas_vald_2023,376,6759,28079,73564,376,17.976063829787233,4.15431276816097
182849188,delta-io_delta_2023,997,6234,21162,25620,997,6.252758274824473,3.3946102021174207
86868560,TileDB-Inc_TileDB_2023,894,5698,21208,43862,894,6.373601789709173,3.722007722007722
496817075,GlareDB_glaredb_2023,1323,4999,19069,37177,1323,3.7785336356764927,3.8145629125825167
130688011,meilisearch_meilisearch_2023,927,4968,21313,61988,927,5.359223300970874,4.290056360708535
276293034,apache_age_2023,1070,4355,17176,22526,1070,4.070093457943925,3.9439724454649827
19816070,MariaDB_server_2023,664,4341,17963,63126,664,6.537650602409639,4.137986639023267
31006158,apache_ignite_2023,724,4224,44996,49332,724,5.834254143646409,10.652462121212121
41349039,dgraph-io_dgraph_2023,600,4204,15014,33758,600,7.006666666666667,3.571360608943863
346976717,4paradigm_OpenMLDB_2023,862,3703,17490,21762,862,4.295823665893272,4.723197407507427
206417,apache_couchdb_2023,670,3828,13900,22657,670,5.713432835820895,3.631138975966562
201403923,activeloopai_deeplake_2023,661,3700,33996,55433,661,5.597579425113464,9.188108108108109
396856161,authzed_spicedb_2023,669,3606,13067,23088,669,5.390134529147982,3.6236827509706044
581145740,ByConity_ByConity_2023,968,3130,13661,24964,968,3.2334710743801653,4.364536741214057
11695619,eXist-db_exist_2023,601,3509,30688,35759,601,5.838602329450915,8.745511541749787
420965027,cnosdb_cnosdb_2023,1097,3079,13384,17808,1097,2.8067456700091156,4.34686586554076
49412556,quickwit-oss_tantivy_2023,588,3369,15275,24522,588,5.729591836734694,4.533986346096764
449924556,tigrisdata_tigris_2023,592,3274,15125,25545,592,5.530405405405405,4.619731215638363
54005538,FirebirdSQL_firebird_2023,581,3145,10837,16839,581,5.413080895008606,3.4457869634340224
372536760,oceanbase_oceanbase_2023,559,3125,10909,22178,559,5.590339892665474,3.49088
5844474,EventStore_EventStore_2023,486,3014,11073,26326,486,6.20164609053498,3.6738553417385535
520096046,marqo-ai_marqo_2023,438,2934,10095,25024,438,6.698630136986301,3.4406952965235176
146459443,vesoft-inc_nebula_2023,663,2705,10808,15141,663,4.079939668174962,3.9955637707948246
30449481,apache_tinkerpop_2023,512,2716,12231,21396,512,5.3046875,4.503313696612666
462329984,speedb-io_speedb_2023,503,2806,9582,17631,503,5.578528827037774,3.4148253741981467
75425073,pubkey_rxdb_2023,1237,1962,49424,98728,1237,1.586095392077607,25.190621814475026
141376301,apache_incubator-hugegraph_2023,346,2852,10925,14382,346,8.242774566473988,3.8306451612903225
91593042,bloomberg_comdb2_2023,553,2635,11796,15517,553,4.76491862567812,4.476660341555977
94593596,etcd-io_bbolt_2023,358,2771,10146,13069,358,7.740223463687151,3.661494045470949
95614931,manticoresoftware_manticoresearch_2023,668,2579,10910,22784,668,3.8607784431137726,4.230321830166731
607441698,lancedb_lancedb_2023,704,2495,9005,20384,704,3.544034090909091,3.6092184368737477
77385607,JanusGraph_janusgraph_2023,715,2442,11634,22707,715,3.4153846153846152,4.764127764127764
20473418,apache_phoenix_2023,377,2644,8513,10442,377,7.013262599469496,3.2197428139183057
220186120,codenotary_immudb_2023,473,2480,22924,32559,473,5.2431289640591965,9.243548387096775
510607652,pocketbase_pocketbase_2023,804,2262,8167,23267,804,2.8134328358208953,3.6105216622458003
148087762,georgia-tech-db_eva_2023,395,2334,8595,24680,395,5.908860759493671,3.6825192802056557
396867188,ArcadeData_arcadedb_2023,650,2120,8736,17123,650,3.2615384615384615,4.120754716981132
456549280,ydb-platform_ydb_2023,681,2151,12751,45192,681,3.158590308370044,5.9279404927940496
34533675,apache_sedona_2023,545,2121,9233,12708,545,3.891743119266055,4.353135313531353
79317191,typesense_typesense_2023,715,2165,8062,15736,715,3.027972027972028,3.7237875288683604
125824259,xtdb_xtdb_2023,1153,1999,6949,12254,1153,1.7337380745880313,3.4762381190595297
87414843,hyrise_hyrise_2023,101,2367,6678,11567,101,23.435643564356436,2.821292775665399
