,mean,median,min,max,std
active_issue_num,991.0884353741496,161.0,3.0,26905.0,2474.611531343928
comment_per_issue,4.3601891077406485,3.3973474801061005,1.0196078431372548,23.435643564356436,3.1619092665446002
referencing_per_comment,4.540193768619134,3.943274738138654,2.3125,25.190621814475026,2.221021800916069
