DBMS_urnform,X_DBMS_urnform,Y_DBMS_urnform,match_state,manu_labeled_flag,DBMS_common_name,category_label,Written in,Query Interface,System Architecture,Developer,Country of Origin,initial_release_year,current_release_year,Project Type,License_info,github_repo_link,github_repo_id,open_source_license,Score_Oct-2024,Rank_Oct-2024,repo_created_at
magma,magma,,X_Single,Y_auto,Magma,Object Oriented,Smalltalk,Custom API,,Chris Muller,US,2002,,Open Source,MIT,magma-database/magma,89699591,Y,,,2017-04-28T11:24:10Z
mangodb,mangodb,,X_Single,Y_auto,MangoDB,Document,Python,Custom API,,David Cramer,US,2012,,"Hobby,Open Source",,dcramer/mangodb,4732384,Y,,,2012-06-20T22:42:57Z
manticore-search,manticore-search,manticore-search,Normal,Y_auto,Manticore Search,Relational#dbdbio>|<dbengines#Search Engine,C++,"SQL,HTTP / REST",,Manticore Software Ltd,GB,2017,2023,"Commercial,Open Source",GPL v2,manticoresoftware/manticoresearch,95614931,Y,0.22,304,2017-06-28T01:15:30Z
mapdb,mapdb,mapdb,Normal,Y_auto,MapDB,Object Oriented#dbdbio>|<dbengines#Key-value,Java,,Embedded,Jan Kotek,CZ,2012#dbdbio>|<dbengines#2002,,Open Source,Apache v2,jankotek/mapdb,5453989,Y,0.52,245,2012-08-17T15:28:54Z
marcellodb,marcellodb,,X_Single,Y_auto,MarcelloDB,Object Oriented,C#,Custom API,Embedded,Mark Meeus,BE,2014,,Open Source,MIT,markmeeus/MarcelloDB,25225465,Y,,,2014-10-14T20:35:45Z
mariadb,mariadb,mariadb,Normal,Y_auto,MariaDB,Relational,"Bash,C,C++,Perl","Custom API,SQL,Stored Procedures",,"MariaDB Foundation#dbdbio>|<dbengines#MariaDB Corporation Ab (MariaDB Enterprise),,MariaDB Foundation (community MariaDB Server)",SE,2009,2024,Open Source,"GPL v2, commercial enterprise subscription available",MariaDB/server,19816070,Y,84.89,15,2014-05-15T10:58:50Z
mariposa,mariposa,,X_Single,Y_auto,Mariposa,Relational,,,Shared-Nothing,University of Calfornia-Berkeley,US,1994,1999,"Academic,Open Source",BSD,-,-,Y,,,-
marqo,marqo,marqo,Normal,Y_auto,Marqo,"Document,Vector#dbdbio>|<dbengines#Search Engine",Python,Custom API,Shared-Everything,Marqo,AU,2022,,"Commercial,Open Source",Apache v2#dbdbio>|<dbengines#Apache Version 2.0,marqo-ai/marqo,520096046,Y,0.35,272,2022-08-01T12:12:51Z
matrixone,matrixone,matrixone,Normal,Y_auto,MatrixOne,Relational,Go,SQL,,MatrixOrigin,CN,2021,,"Commercial,Open Source",Apache v2.0,matrixorigin/matrixone,339993112,Y,0.98,189,2021-02-18T09:07:17Z
mcdb,mcdb,,X_Single,Y_auto,mcdb,Key-value,C,Custom API,Shared-Everything,Glenn Strauss,US,2010,2022,"Hobby,Open Source",LGPL v2,gstrauss/mcdb,2272541,Y,,,2011-08-26T05:43:36Z
mckoi-sql-database,mckoi-sql-database,,X_Single,Y_auto,Mckoi SQL Database,Relational,Java,SQL,"Shared-Everything,Embedded","Diehl and Associates, Inc.",US,1998,2019,"Commercial,Open Source",GPL v2,Mckoi/origsqldb,135423959,Y,,,2018-05-30T10:00:17Z
meilisearch,meilisearch,meilisearch,Normal,Y_auto,Meilisearch,Document#dbdbio>|<dbengines#Search Engine,Rust,"Custom API,HTTP / REST",,Meilisearch,FR,2018#dbdbio>|<dbengines#2020,,"Commercial,Open Source",MIT,meilisearch/meilisearch,130688011,Y,1.07,178,2018-04-23T11:45:28Z
memcached,memcached,memcached,Normal,Y_auto,Memcached,Key-value,C,Custom API,Shared-Nothing,Danga Interactive,US,2003,2024,"Commercial,Open Source",BSD,memcached/memcached,184981,Y,17.79,32,2009-04-24T23:34:25Z
