DBMS_urnform,X_DBMS_urnform,Y_DBMS_urnform,match_state,manu_labeled_flag,DBMS_common_name,category_label,Written in,Query Interface,System Architecture,Developer,Country of Origin,initial_release_year,current_release_year,Project Type,License_info,github_repo_link,github_repo_id,open_source_license,Score_Oct-2024,Rank_Oct-2024,repo_created_at
phoenix,phoenix,apache-phoenix,Fuzzy:Normal,Y,Apache Phoenix,Relational,Java,SQL,Shared-Disk,Apache Software Foundation,US,2014,2019,Open Source,Apache v2.0,apache/phoenix,20473418,Y,1.93,120,2014-06-04T07:00:08Z
photondb,photondb,,X_Single,Y_auto,PhotonDB,Key-value,Rust,,,Huachao Huang,CN,2022,,"Hobby,Open Source",Apache v2,photondb/photondb,502268740,Y,,,2022-06-11T06:24:35Z
pickledb,pickledb,,X_Single,Y_auto,pickleDB,Document,Python,Custom API,Embedded,Harrison Erd,US,2011,,"Hobby,Open Source",BSD,patx/pickledb,2662146,Y,,,2011-10-28T00:04:40Z
picodb,picodb,,X_Single,Y_auto,PicoDB,Document,JavaScript,,Embedded,jclo,FR,2016,,Open Source,MIT,jclo/picodb,58524063,Y,,,2016-05-11T07:40:46Z
picosql,picosql,,X_Single,Y_auto,picoSQL,Relational,,SQL,Shared-Everything,picoSoft,IT,1995,2006,"Commercial,Open Source",GPL v2,-,-,Y,,,-
pika,pika,,X_Single,Y_auto,Pika,Key-value,C++,Custom API,Shared-Everything,Qihoo,CN,2014,,Open Source,MIT,Qihoo360/pika,26127968,Y,,,
piladb,piladb,,X_Single,Y_auto,piladb,Object Oriented,Go,HTTP / REST,,Fernando Álvarez,ES,2015,,Open Source,MIT,fern4lvarez/piladb,42143916,Y,,,2015-09-08T23:12:22Z
pilosa,pilosa,,X_Single,Y_auto,Pilosa,Vector,Go,"Custom API,HTTP / REST",Shared-Everything,Pilosa,US,2017,,"Commercial,Open Source",Apache v2,pilosa/pilosa,40127179,Y,,,2015-08-03T13:48:08Z
pincaster,pincaster,,X_Single,Y_auto,Pincaster,Document,C,HTTP / REST,,Frank Denis,FR,2010,,Open Source,MIT,jedisct1/Pincaster,652189,Y,,,2010-05-06T21:56:02Z
pinot,pinot,apache-pinot,Fuzzy:Normal,Y,Apache Pinot,Relational,Java,SQL,Shared-Nothing,LinkedIn#dbdbio>|<dbengines#Apache Software Foundation and contributors,US,2014#dbdbio>|<dbengines#2015,2023,Open Source,Apache v2.0,apache/pinot,19961085,Y,0.34,275,2014-05-19T23:27:48Z
pinusdb,pinusdb,,X_Single,Y_auto,PinusDB,Relational,C++,SQL,,ChangSha JuSong Soft Inc.,CN,2019,,Open Source,GPL v3,pinusdb/pinusdb,205350261,Y,,,2019-08-30T09:29:02Z
pipelinedb,pipelinedb,pipelinedb,Normal,Y_auto,PipelineDB,"Object Oriented,Relational",C,SQL,,"PipelineDB, Inc.",US,2013#dbdbio>|<dbengines#2015,2019,"Commercial,Open Source","BSD,GPL v3",pipelinedb/pipelinedb,14702444,Y,0.23,298,2013-11-26T00:11:48Z
pocketbase,pocketbase,,X_Single,Y_auto,PocketBase,Relational,Go,Custom API,Shared-Everything,Gani Georgiev,BG,2022,,"Hobby,Open Source",MIT,pocketbase/pocketbase,510607652,Y,,,2022-07-05T06:06:21Z
pocketsql,pocketsql,,X_Single,Y_auto,pocketSQL,,C,,,Steve Grubb,US,2001,2002,Open Source,GPL v2,-,-,Y,,,-
pogreb,pogreb,,X_Single,Y_auto,Pogreb,Key-value,Go,Custom API,Embedded,Artem Krylysov,US,2018,,Open Source,Apache v2,akrylysov/pogreb,116522453,Y,,,2018-01-06T23:16:36Z
polypheny,polypheny,,X_Single,Y_auto,Polypheny,"Relational,Document,Graph",Java,"SQL,Cypher,HTTP / REST",Shared-Everything,"Polypheny GmbH, University of Basel",CH,2017,,"Academic,Commercial,Open Source",Apache v2,polypheny/Polypheny-DB,166387176,Y,,,2019-01-18T10:24:15Z
postgresql,postgresql,postgresql,Normal,Y_auto,PostgreSQL,"Object Oriented,Relational",C,PL/SQL,Shared-Everything,University of California-Berkeley#dbdbio>|<dbengines#PostgreSQL Global Development Group,US,1986#dbdbio>|<dbengines#1989,2024,"Academic,Open Source",PostgreSQL License#dbdbio>|<dbengines#BSD,postgres/postgres,927442,Y,652.16,4,2010-09-21T11:35:45Z
pouchdb,pouchdb,pouchdb,Normal,Y_auto,PouchDB,Document,JavaScript,Custom API,Embedded,Apache Software Foundation,US,2010#dbdbio>|<dbengines#2012,2019,Open Source,Apache v2,pouchdb/pouchdb,714074,Y,2.18,114,2010-06-10T18:34:24Z
pranadb,pranadb,,X_Single,Y_auto,PranaDB,Relational,Go,SQL,,Cash App,GB,2022,,Open Source,Apache License 2.0,cashapp/pranadb,372181547,Y,,,2021-05-30T10:11:45Z
predator,predator,,X_Single,Y_auto,Predator,"Object Oriented,Relational",,,,Cornell University,US,1996,2002,"Academic,Open Source",GPL v2,-,-,Y,,,-
prestodb,prestodb,presto,Fuzzy:Normal,Y,Presto,"Wide column,Relational,Key-value,Document",Java,SQL,Shared-Nothing,Facebook; Presto Foundation,US,2013,,Open Source,Apache v2.0,prestodb/presto,5349565,Y,7.05,52,2012-08-09T01:03:37Z
profanedb,profanedb,,X_Single,Y_auto,ProfaneDB,Object Oriented,C++,Custom API,Shared-Everything,,CH,2017,2021,"Hobby,Open Source",GPL v3,profanedb/ProfaneDB,90349373,Y,,,2017-05-05T07:29:38Z
prometheus,prometheus,prometheus,Normal,Y_auto,Prometheus,Key-value#dbdbio>|<dbengines#Time Series,Go,"HTTP / REST,PromQL",Shared-Disk,SoundCloud,DE,2012#dbdbio>|<dbengines#2015,,Open Source,Apache v2.0,prometheus/prometheus,6838921,Y,7.31,50,2012-11-24T11:14:12Z
proton,proton,,X_Single,Y_auto,Proton,Relational,C++,SQL,,Timeplus Inc.,US,2021,,"Commercial,Open Source",Apache v2,timeplus-io/proton,678214856,Y,,,2023-08-14T03:11:43Z
puffindb,puffindb,,X_Single,Y_auto,PuffinDB,Relational,,SQL,,"Sutoiku, Inc.",HR,2023,2023,Open Source,Proprietary,sutoiku/puffin,591304097,Y,,,2023-01-20T12:36:48Z
pumpkindb,pumpkindb,,X_Single,Y_auto,PumpkinDB,Key-value,Rust,,,Yurii Rashkovskii,CA,2017,,Open Source,Mozilla Public License,PumpkinDB/PumpkinDB,80648455,Y,,,2017-02-01T18:09:04Z
pupdb,pupdb,,X_Single,Y_auto,PupDB,Key-value,Python,HTTP / REST,Shared-Everything,tuxmonk,IN,2019,,Open Source,MIT,tuxmonk/pupdb,223895357,Y,,,2019-11-25T08:13:16Z
pysondb,pysondb,,X_Single,Y_auto,PysonDB,Document,Python,Custom API,Embedded,Fredy Somy,IN,2020,,"Hobby,Open Source",MIT,pysonDB/pysonDB-v2,416174776,Y,,,2021-10-12T03:53:50Z
qikkdb,qikkdb,,X_Single,Y_auto,qikkDB,Relational,C++,SQL,,Instarea s.r.o.,SK,2019,2020,"Commercial,Open Source",Apache v2,qikkDB/qikkdb,275838748,Y,,,2020-06-29T14:27:06Z
ql,ql,,X_Single,Y_auto,ql,Relational,Go,SQL,Embedded,Jan Mercl,PL,2013,,"Hobby,Open Source",BSD,cznic/ql,14090388,Y,,,2013-11-03T18:13:12Z
qserv,qserv,,X_Single,Y_auto,Qserv,Relational,C++,,,SLAC National Accelerator Laboratory,US,2011,,"Academic,Open Source",GNU General Public License v3.0,lsst/qserv,23013460,Y,,,2014-08-16T07:50:36Z
quadrable,quadrable,,X_Single,Y_auto,Quadrable,Key-value,C++,"Custom API,Command-line / Shell",Embedded,Doug Hoyte,CA,2020,,"Commercial,Open Source",BSD,hoytech/quadrable,274184952,Y,,,2020-06-22T16:10:07Z
questdb,questdb,questdb,Normal,Y_auto,QuestDB,Relational#dbdbio>|<dbengines#Time Series,"C++,Java",SQL,"Shared-Nothing,Embedded",QuestDB Technology Inc,GB,2014,,"Commercial,Open Source",Apache v2.0,questdb/questdb,19257422,Y,2.83,95,2014-04-28T23:29:15Z
quickstep,quickstep,,X_Single,Y_auto,Quickstep,Relational,,,,University of Wisconsin,US,2013,2018,"Academic,Open Source",Apache v2,apache/incubator-retired-quickstep,56214719,Y,,,2016-04-14T07:00:07Z
quickwit,quickwit,,X_Single,Y_auto,Quickwit,Document,Rust,Custom API,Shared-Disk,"Quickwit, Inc.",US,2021,,"Commercial,Open Source",AGPL v3,quickwit-oss/quickwit,357707809,Y,,,2021-04-13T22:45:40Z
quinedb,quinedb,,X_Single,Y_auto,QuineDB,Key-value,Bash,Command-line / Shell,,Gary Fredericks,US,2016,,Open Source,Eclipse Public License,gfredericks/quinedb,67936193,Y,,,2016-09-11T15:02:41Z
quokka,quokka,,X_Single,Y_auto,Quokka,Relational,Python,SQL,Shared-Disk,Ziheng Wang,US,2021,,"Hobby,Open Source",Apache v2,marsupialtail/quokka,429630067,Y,,,2021-11-19T01:17:06Z
radondb,radondb,,X_Single,Y_auto,RadonDB,Relational,Go,SQL,Shared-Nothing,Yunify Technologies Inc.,CN,2018,,"Commercial,Open Source",GPL v3,radondb/radon,117920609,Y,,,2018-01-18T02:28:32Z
ragedb,ragedb,,X_Single,Y_auto,RageDB,Graph,C++,HTTP / REST,Shared-Nothing,Max De Marzi,US,2021,,"Hobby,Open Source",Apache v2,ragedb/ragedb,383927661,Y,,,2021-07-07T21:23:25Z
ramsql,ramsql,,X_Single,Y_auto,RamSQL,Relational,Go,SQL,Embedded,Pierre Roullon,FR,2014,,"Hobby,Open Source",BSD,proullon/ramsql,26774602,Y,,,2014-11-17T20:00:45Z
raptordb,raptordb,raptordb,Normal,Y_auto,RaptorDB,Document,C#,Custom API,Embedded,Mehdi Gholam,GB,2012,2019,Open Source,Code Project Open License#dbdbio>|<dbengines#Apache Version 2,mgholam/RaptorDB-Document,26573806,Y,0.06,350,2014-11-13T06:19:35Z
rasdaman,rasdaman,rasdaman,Normal,Y_auto,Rasdaman,Array#dbdbio>|<dbengines#Multivalue,C++,SQL,Shared-Everything,Jacobs University Bremen,DE,1989#dbdbio>|<dbengines#1998,2019,"Commercial,Open Source",GPL v3#dbdbio>|<dbengines#extended commercial license available,onefanwu/RasDaMan-v10.0,489656726,Y,0.41,264,2022-05-07T11:38:19Z
ravendb,ravendb,ravendb,Normal,Y_auto,RavenDB,"Key-value,Document",C#,"Custom API,HTTP / REST",Shared-Nothing,Hibernating Rhinos,IL,2009#dbdbio>|<dbengines#2010,2022,"Commercial,Open Source",AGPL v3; commercial license available,ravendb/ravendb,542714,Y,2.7,100,2010-03-02T11:05:30Z
realm,realm,realm,Normal,Y_auto,Realm,Object Oriented#dbdbio>|<dbengines#Document,C++,Custom API,Embedded,"Realm, acquired by MongoDB in May 2019",US,2011#dbdbio>|<dbengines#2014,,"Commercial,Open Source",Apache v2,realm/realm-core,1917262,Y,7.05,53,2011-06-18T21:18:46Z
redb,redb,,X_Single,Y_auto,redb,Key-value,Rust,Custom API,Embedded,Christopher Berner,US,2018,,"Hobby,Open Source",Apache v2,cberner/redb,150013328,Y,,,2018-09-23T18:30:14Z
redcon,redcon,,X_Single,Y_auto,Redcon,Key-value,Go,HTTP / REST,,Josh Baker,US,2016,,"Hobby,Open Source",MIT,tidwall/redcon,64404140,Y,,,2016-07-28T14:52:34Z
redict,redict,,X_Single,Y_auto,Redict,Key-value,C,Custom API,Shared-Everything,Drew DeVault,NL,2024,,Open Source,LGPL v3,-,-,Y,,,-
redis,redis,redis,Normal,Y_auto,Redis,Key-value,C,Custom API,Shared-Nothing,"Salvatore Sanfilippo#dbdbio>|<dbengines#Redis project core team, inspired by Salvatore Sanfilippo",IT,2009,2024,"Commercial,Open Source","BSD#dbdbio>|<dbengines#source-available extensions (modules), commercial licenses for Redis Enterprise",redis/redis,156018,Y,149.63,6,2009-03-21T22:32:25Z
redisgraph,redisgraph,,X_Single,Y_auto,RedisGraph,Graph,C,"Stored Procedures,Cypher,Command-line / Shell",Shared-Nothing,Redis Ltd.,US,2018,,"Commercial,Open Source",Server Side Public License,RedisGraph/RedisGraph,84458512,Y,,,2017-03-09T15:37:25Z
redisql,redisql,,X_Single,Y_auto,RediSQL,Relational,Rust,SQL,,Red Beard Lab,IT,2016,,"Commercial,Open Source",AGPL v3,RedBeardLab/rediSQL,74375185,Y,,,2016-11-21T15:03:59Z
redixdb,redixdb,,X_Single,Y_auto,RedixDB,Key-value,Go,Custom API,Shared-Everything,Mohammed Al Ashaal,EG,2018,,"Hobby,Open Source",,alash3al/redix,161674141,Y,,,2018-12-13T17:42:12Z
redstore,redstore,redstore,Normal,Y_auto,RedStore,RDF,C,"SPARQL,HTTP / REST",,Nicholas Humfrey,GB,2009,,Open Source,GPL v3,njh/redstore,754873,Y,0.19,312,2010-07-03T10:09:55Z
reductstore,reductstore,reductstore,Normal,Y_auto,ReductStore,Key-value#dbdbio>|<dbengines#Time Series,"C++,Rust","Custom API,HTTP / REST",Shared-Everything,Alexey Timin#dbdbio>|<dbengines#ReductStore LLC,DE,2021#dbdbio>|<dbengines#2023,2024,"Commercial,Open Source",Mozilla Public License#dbdbio>|<dbengines#Business Source License 1.1,reductstore/reductstore,441299511,Y,0.0,388,2021-12-23T21:27:52Z
redwood,redwood,,X_Single,Y_auto,Redwood,Key-value,Go,Custom API,,Bryn Bellomy,US,2019,,"Hobby,Open Source",MIT,redwood/redwood,210997817,Y,,,2019-09-26T04:13:14Z
refinedb,refinedb,,X_Single,Y_auto,RefineDB,Document,Rust,Custom API,,Heyang Zhou,CN,2021,2021,"Hobby,Open Source",MIT,losfair/RefineDB,376679845,Y,,,2021-06-14T02:03:33Z
rel,rel,,X_Single,Y_auto,Rel,Relational,Java,Custom API,Shared-Everything,Dave Voorhis,GB,2004,,"Academic,Educational,Open Source",Apache v2,DaveVoorhis/Rel,25871447,Y,,,2014-10-28T13:50:23Z
relaxo,relaxo,,X_Single,Y_auto,Relaxo,Document,Ruby,Custom API,Shared-Everything,Samuel Williams,NZ,2012,2020,"Hobby,Open Source",MIT,ioquatix/relaxo,4984118,Y,,,2012-07-11T03:50:06Z
resilientdb,resilientdb,,X_Single,Y_auto,ResilientDB,Document,C++,GraphQL,Shared-Nothing,University of California Davis,US,2019,,"Academic,Open Source",Apache v2,resilientdb/resilientdb,223462217,Y,,,2019-11-22T18:28:12Z
resin-cache,resin-cache,resin-cache,Normal,Y_auto,Resin Cache,Key-value,Java,,,"Caucho Technology, Inc.",US,1998,2021,"Commercial,Open Source","Proprietary#dbdbio>|<dbengines#GPLv3, extended commercial license available",mdaniel/svn-caucho-com-resin,3596087,Y,0.02,369,2012-03-01T21:07:13Z
rethinkdb,rethinkdb,rethinkdb,Normal,Y_auto,RethinkDB,Document,"Bash,C++,Java,JavaScript,Python",Custom API,Shared-Nothing,RethinkDB#dbdbio>|<dbengines#The Linux Foundation,US,2009,2020,Open Source,Apache v2,rethinkdb/rethinkdb,6452529,Y,2.56,105,2012-10-30T05:37:47Z
rexdb,rexdb,,X_Single,Y_auto,RexDB,"Object Oriented,Relational","JavaScript,Python","Custom API,SQL,PL/SQL",Shared-Everything,"Prometheus Research, LLC",US,2006,,Open Source,AGPL v3,-,-,Y,,,-
rhizomedb,rhizomedb,,X_Single,Y_auto,RhizomeDB,Relational,Rust,Datalog,,Fission Labs,US,2022,,Open Source,"Apache v2,MIT",RhizomeDB/rs-rhizome,574694308,Y,,,2022-12-05T21:55:16Z
riak,riak,,Multiple:X_Single,Y_ConflictResolved,Riak,Key-value,Erlang,,,Basho Technologies,US,2010,,"Commercial,Open Source",Apache v2,basho/riak,613723,Y,,,2010-04-16T14:51:16Z
risinglight,risinglight,,X_Single,Y_auto,RisingLight,Relational,Rust,SQL,Embedded,,US,2021,,"Educational,Open Source",Apache v2,risinglightdb/risinglight,393235957,Y,,,2021-08-06T03:26:03Z
risingwave,risingwave,risingwave,Normal,Y_auto,RisingWave,Relational,Rust,SQL,Shared-Everything,RisingWave Labs,US,2021#dbdbio>|<dbengines#2022,2023,"Commercial,Open Source",Apache v2.0,risingwavelabs/risingwave,453068084,Y,0.6,237,2022-01-28T12:58:03Z
rocksdb,rocksdb,rocksdb,Normal,Y_auto,RocksDB,Key-value,"C,C++",Custom API,Embedded,"Facebook, Inc.",US,2012#dbdbio>|<dbengines#2013,2024,Open Source,Apache v2#dbdbio>|<dbengines#BSD,facebook/rocksdb,6934395,Y,3.05,88,2012-11-30T06:16:18Z
roma,roma,,X_Single,Y_auto,ROMA,Key-value,Ruby,Custom API,Shared-Nothing,"Rakuten, Inc.",JP,2009,,"Commercial,Open Source",GNU General Public License v3.0,roma/roma,345739,Y,,,2009-10-22T06:58:50Z
rondb,rondb,,X_Single,Y_auto,RonDB,"Relational,Key-value",C++,"Custom API,SQL,HTTP / REST",Shared-Nothing,Hopsworks AB,SE,2020,,Open Source,GPL v2,logicalclocks/rondb,323389945,Y,,,2020-12-21T16:25:57Z
rosedb,rosedb,,X_Single,Y_auto,RoseDB,Key-value,Go,Custom API,Shared-Everything,"RoseDB Labs, Inc.",CN,2020,,"Hobby,Open Source",MIT,roseduan/rosedb,318972528,Y,,,2020-12-06T07:02:48Z
rqlite,rqlite,,X_Single,Y_auto,rqlite,Relational,Go,"SQL,HTTP / REST",Embedded,Philip O'Toole,US,2014,,Open Source,MIT,rqlite/rqlite,23247808,Y,,,2014-08-23T04:31:18Z
rxdb,rxdb,,X_Single,Y_auto,RxDB,Document,JavaScript,"Custom API,GraphQL",,Daniel Van Meyer,DE,2016,,Open Source,Apache v2,pubkey/rxdb,75425073,Y,,,2016-12-02T19:34:42Z
sabledb,sabledb,,X_Single,Y_auto,SableDb,Key-value,Rust,Custom API,Shared-Everything,Eran Ifrah,IL,2024,,"Hobby,Open Source",BSD,sabledb-io/sabledb,779811016,Y,,,2024-03-30T20:57:27Z
sapphiredb,sapphiredb,,X_Single,Y_auto,SapphireDb,Object Oriented,C#,"Custom API,HTTP / REST",,Morris Janatzek,DE,2018,2021,"Hobby,Open Source",MIT,SapphireDb/SapphireDb,150752008,Y,,,2018-09-28T14:24:39Z
scalaris,scalaris,scalaris,Normal,Y_auto,Scalaris,Key-value,Erlang,,,Zuse Institute Berlin,DE,2010,,"Academic,Open Source",Apache v2,scalaris-team/scalaris,33605302,Y,0.51,246,2015-04-08T12:25:25Z
scaliendb,scaliendb,,X_Single,Y_auto,ScalienDB,Key-value,C++,HTTP / REST,Shared-Nothing,Scalien,HU,2010,2013,"Commercial,Open Source",AGPL v3,scalien/scaliendb,715589,Y,,,2010-06-11T12:47:08Z
scidb,scidb,scidb,Normal,Y_auto,SciDB,Array#dbdbio>|<dbengines#Multivalue,C++,Command-line / Shell,Shared-Nothing,Paradigm4,US,2008,,"Academic,Commercial,Open Source","AGPL v3,Proprietary",autermann/scidb,31373521,Y,0.75,217,2015-02-26T15:26:05Z
scratchdb,scratchdb,,X_Single,Y_auto,ScratchDB,Document,Go,"SQL,HTTP / REST",,ScratchDB,US,2023,,"Commercial,Open Source",AGPL v3,scratchdata/ScratchDB,664816265,Y,,,2023-07-10T20:15:01Z
scylla,scylla,scylladb,Fuzzy:Normal,Y,Scylla,"Wide column,Key-value",C++,Custom API,Shared-Nothing,ScyllaDB Inc.,IL,2014#dbdbio>|<dbengines#2015,2024,"Commercial,Open Source",AGPL v3,scylladb/scylla,28449431,Y,3.74,75,2014-12-24T13:16:33Z
sdb,sdb,,X_Single,Y_auto,SDB,"Relational,Document",C,Custom API,Embedded,,ES,,,Open Source,MIT,radare/sdb,5665061,Y,,,2012-09-03T23:15:15Z
seafowl,seafowl,,X_Single,Y_auto,Seafowl,Relational,Rust,SQL,Shared-Everything,"Splitgraph, Inc.",GB,2022,,"Commercial,Open Source",Apache v2,splitgraph/seafowl,510375115,Y,,,2022-07-04T13:41:52Z
sedna,sedna,sedna,Normal,Y_auto,Sedna,Document#dbdbio>|<dbengines#Native XML,C++,XQuery,,Institute for System Programming RAS,RU,2003#dbdbio>|<dbengines#2006,2015,"Academic,Open Source",Apache v2,sedna/sedna,5841618,Y,0.92,196,2012-09-17T13:47:17Z
senseidb,senseidb,senseidb,Normal,Y_auto,SenseiDB,Relational#dbdbio>|<dbengines#Document,Java,Custom API,Shared-Nothing,"LinkedIn, Xiaomi",US,2012#dbdbio>|<dbengines#2010,2013,Open Source,Apache v2,LinkedInAttic/sensei,533032,Y,0.05,355,2010-02-24T00:04:42Z
sequins,sequins,,X_Single,Y_auto,Sequins,Key-value,Go,,,Stripe,US,2014,,Open Source,MIT,stripe/sequins,26888631,Y,,,2014-11-20T00:38:21Z
sequoiadb,sequoiadb,sequoiadb,Normal,Y_auto,SequoiaDB,Document,C++,"SQL,HTTP / REST,Command-line / Shell",Shared-Disk,SequoiaDB Corporation,CN,2011#dbdbio>|<dbengines#2013,,"Commercial,Open Source",AGPL v3,SequoiaDB/SequoiaDB,188354257,Y,0.41,265,2019-05-24T04:51:56Z
serenity,serenity,,X_Single,Y_auto,Serenity,,C,,,,RU,2015,2016,"Hobby,Open Source",Other,pmwkaa/serenity,39335675,Y,,,2015-07-19T14:02:27Z
sesame,sesame,,X_Single,Y_auto,Sesame,RDF,Java,SPARQL,,Aduna,NL,1997,2016,Open Source,BSD,ansell/openrdf-sesame,6235870,Y,,,2012-10-15T23:06:33Z
shardingsphere,shardingsphere,,X_Single,Y_auto,ShardingSphere,Relational,Java,SQL,Shared-Nothing,Apache,CN,2016,,Open Source,Apache v2,apache/shardingsphere,49876476,Y,,,2016-01-18T12:49:26Z
shore-mt,shore-mt,,X_Single,Y_auto,Shore-MT,,C,,,"Carnegie Mellon University, EPFL",US,2007,2014,"Commercial,Open Source",,glycerine/shore-mt,6433550,Y,,,2012-10-28T23:58:04Z
shsql,shsql,,X_Single,Y_auto,shsql,Relational,Bash,"SQL,Command-line / Shell",,Steve Alt,,2002,2013,Open Source,GPL v2,-,-,Y,,,-
signaldb,signaldb,,X_Single,Y_auto,SignalDB,Document,TypeScript,Custom API,Embedded,Max Nowack,DE,2023,,"Hobby,Open Source",MIT,maxnowack/signaldb,661663226,Y,,,2023-07-03T11:21:29Z
silo,silo,,X_Single,Y_auto,Silo,Relational,"C++,Python",Custom API,Shared-Everything,"Stephen Tu, Eddie Kohler",US,2013,,"Academic,Open Source",MIT,stephentu/silo,12067343,Y,,,2013-08-12T22:03:02Z
sirdb,sirdb,,X_Single,Y_auto,Sir.DB,Document,JavaScript,Custom API,,Cris Stringfellow,HK,2020,,"Hobby,Open Source",MIT,c9fe/sirdb,234091935,Y,,,2020-01-15T13:56:10Z
siridb,siridb,siridb,Normal,Y_auto,SiriDB,Time Series,C,Custom API,,Cesbit,NL,2016#dbdbio>|<dbengines#2017,,"Commercial,Open Source",MIT,SiriDB/siridb-server,55093657,Y,0.0,388,2016-03-30T19:58:40Z
sirixdb,sirixdb,,X_Single,Y_auto,SirixDB,Document,"Java,Kotlin","XQuery,HTTP / REST",,University of Konstanz,DE,2012,,"Academic,Open Source",BSD,sirixdb/sirix,4604367,Y,,,2012-06-09T02:22:14Z
skeletondb,skeletondb,,X_Single,Y_auto,SkeletonDB,,Go,,,Tristan Rice,CA,2016,2016,Open Source,MIT,d4l3k/skeletondb,63439550,Y,,,2016-07-15T17:31:03Z
sksql,sksql,,X_Single,Y_auto,SKSQL,Relational,TypeScript,SQL,Embedded,Alex Raffy,ES,2021,,"Hobby,Open Source",MIT,alexraffy/sksql,416777125,Y,,,2021-10-13T14:28:45Z
skytable,skytable,skytable,Normal,Y_auto,Skytable,Key-value,Rust,Custom API,,"Skytable, Inc.",US,2020,,Open Source,AGPL v3.0,skytable/skytable,276042304,Y,0.18,314,2020-06-30T08:31:09Z
slatedb,slatedb,,X_Single,Y_auto,SlateDB,Key-value,Rust,Custom API,Embedded,Chris Riccomini,US,2024,,"Hobby,Open Source",Apache v2,slatedb/slatedb,777912773,Y,,,2024-03-26T18:28:31Z
sled,sled,,X_Single,Y_auto,Sled,Key-value,Rust,Custom API,Embedded,Tyler Neely,"DE,US",2016,,Open Source,"Apache v2,MIT",spacejam/sled,49401416,Y,,,2016-01-11T04:11:30Z
sleekdb,sleekdb,,X_Single,Y_auto,SleekDB,Document,PHP,Custom API,Embedded,,BD,2018,,Open Source,MIT,rakibtg/SleekDB,129436009,Y,,,2018-04-13T17:50:14Z
slumber-db,slumber-db,,X_Single,Y_auto,Slumber DB,Key-value,Java,,,Richard Hightower,US,2014,,Open Source,Apache v2,RichardHightower/slumberdb,18409684,Y,,,2014-04-03T16:18:34Z
smallsql,smallsql,smallsql,Normal,Y_auto,SmallSQL,Relational,Java,,Embedded,Volker Berlin,DE,2005,2013,Open Source,LGPL v3,CptTZ/SmallSQL,151762200,Y,0.02,367,2018-10-05T18:26:35Z
sneller,sneller,,X_Single,Y_auto,Sneller,Document,Go,SQL,Shared-Disk,"Sneller, Inc.",US,2022,,"Commercial,Open Source",AGPL v3,SnellerInc/sneller,474070793,Y,,,2022-03-25T15:46:05Z
solr,solr,apache-solr,Fuzzy:Normal,Y,Apache Solr,Document#dbdbio>|<dbengines#Search Engine,Java,Custom API,Shared-Nothing,Apache Software Foundation,US,2004#dbdbio>|<dbengines#2006,2024,Open Source,Apache v2,apache/lucene-solr,50229487,Y,32.98,24,2016-01-23T08:00:06Z
sones-graphdb,sones-graphdb,,X_Single,Y_auto,sones GraphDB,Graph,C#,"Custom API,HTTP / REST",Shared-Everything,sones GmbH,DE,2007,2012,"Commercial,Open Source",AGPL v3,sones/sones,743502,Y,,,2010-06-27T16:55:56Z
sonnerie,sonnerie,,X_Single,Y_auto,Sonnerie,Relational,Rust,"HTTP / REST,Command-line / Shell",,Charles Samuels,US,,,Open Source,BSD,njaard/sonnerie,147880351,Y,,,2018-09-07T22:24:22Z
spacetimedb,spacetimedb,,X_Single,Y_auto,SpacetimeDB,Relational,,"Custom API,SQL,HTTP / REST",,"Clockwork Laboratories, Inc.",US,2023,,"Commercial,Open Source",Business Source License,ClockworkLabs/SpacetimeDB,654870350,Y,,,2023-06-17T07:28:29Z
spark-sql,spark-sql,apache-spark-sql,Fuzzy:Normal,Y,Spark SQL,Relational,,"Custom API,SQL",Shared-Nothing,Apache Software Foundation,US,2014,2023,Open Source,Apache v2.0,apache/spark,17165658,Y,16.73,35,2014-02-25T08:00:08Z
sparksee,sparksee,,X_Single,Y_auto,Sparksee,"Graph,Object Oriented",C++,Custom API,Shared-Nothing,Sparsity Technologies,ES,2006,,"Commercial,Open Source",,SparsityTechnologies/sparksee-server,43494700,,,,2015-10-01T12:18:44Z
sparrowdb,sparrowdb,,X_Single,Y_auto,SparrowDB,Key-value,Go,HTTP / REST,,SparrowDB,BR,2016,2018,Open Source,MIT,SparrowDb/sparrowdb,64182745,Y,,,2016-07-26T02:19:27Z
speedy,speedy,,X_Single,Y_auto,Speedy,Relational,C,SQL,,Harald Wabnig,AT,,2003,"Hobby,Open Source",-,-,-,Y,,,-
sphinx,sphinx,sphinx,Normal,Y_auto,Sphinx,Search Engine,C++,,,Sphinx Technologies Inc.,US,2001,2023,"Commercial,Open Source","GPL v2, commercial licence available",sphinxsearch/sphinx,36992044,Y,5.92,58,2015-06-06T19:15:17Z
spicedb,spicedb,,X_Single,Y_auto,SpiceDB,Object Oriented,Go,"Custom API,HTTP / REST",,Authzed,US,2021,,"Commercial,Open Source",Apache v2,authzed/spicedb,396856161,Y,,,2021-08-16T15:32:09Z
splice-machine,splice-machine,splice-machine,Normal,Y_auto,Splice Machine,Relational,Java,SQL,Shared-Disk,Splice Machine,US,2012#dbdbio>|<dbengines#2014,2021,"Commercial,Open Source",AGPL v3.0; commercial license available,splicemachine/spliceengine,8582237,Y,0.54,244,2013-03-05T15:07:56Z
